EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
158940.800,183012.800,307668.000,277456.800,166199.400,161681.900,148839.800,165459.500,0.000
158936.400,183060.000,307687.000,277424.800,166387.100,161731.200,148887.500,165520.800,0.000
158905.500,182988.700,307521.500,277262.100,166237.900,161675.900,148784.000,165364.900,0.000
158893.400,182892.000,307344.500,277149.400,165951.400,161585.900,148665.600,165203.900,0.000
158914.600,182897.900,307344.400,277201.800,165918.600,161580.200,148695.800,165250.300,0.000
158935.100,182993.100,307462.000,277298.500,166178.800,161662.600,148829.700,165447.100,0.000
158923.400,183042.500,307475.600,277266.700,166369.900,161718.100,148883.000,165511.400,0.000
158900.000,182990.100,307323.400,277111.500,166244.800,161687.000,148797.300,165363.500,0.000
158882.800,182891.800,307148.800,276992.600,165961.200,161596.200,148682.600,165197.500,0.000
158907.000,182894.900,307155.700,277048.000,165928.400,161590.100,148711.200,165255.800,0.000
158931.900,182986.800,307279.900,277143.400,166184.200,161668.700,148836.500,165453.200,0.000
158923.900,183036.500,307302.100,277104.800,166372.300,161720.200,148884.200,165513.300,0.000
158897.100,182974.700,307149.000,276946.300,166231.500,161675.000,148788.000,165356.700,0.000
158887.700,182875.000,306978.100,276839.200,165940.600,161584.100,148667.500,165185.600,0.000
158907.100,182876.000,306979.800,276891.900,165899.000,161573.700,148687.900,165234.700,0.000
158926.400,182965.100,307101.500,276991.700,166153.000,161647.600,148813.500,165432.700,0.000
158916.300,183011.500,307122.700,276962.500,166336.600,161692.800,148859.400,165490.800,0.000
158889.300,182952.300,306972.100,276805.300,166199.100,161648.200,148765.600,165333.300,0.000
158875.400,182859.500,306804.400,276696.100,165919.400,161563.000,148651.700,165169.700,0.000
158894.600,182861.500,306805.900,276749.100,165885.600,161554.000,148676.000,165224.200,0.000
158921.800,182959.900,306934.300,276857.100,166150.300,161634.100,148809.600,165422.900,0.000
158912.600,183012.200,306959.400,276830.800,166345.800,161689.000,148863.400,165488.600,0.000
158874.400,182943.100,306799.900,276668.700,166209.000,161641.700,148766.700,165335.100,0.000
158858.400,182846.900,306627.300,276560.600,165929.500,161558.800,148656.200,165176.100,0.000
158878.300,182848.400,306628.700,276613.500,165889.800,161552.200,148681.000,165229.800,0.000
158902.500,182939.900,306753.000,276713.800,166142.200,161628.600,148802.400,165416.400,0.000
158895.100,182995.700,306783.300,276686.300,166337.600,161684.800,148858.400,165483.600,0.000
158859.600,182929.000,306625.900,276527.900,166201.200,161640.600,148767.300,165333.500,0.000
158847.900,182836.500,306453.900,276418.600,165915.200,161552.400,148651.000,165168.700,0.000
158871.300,182842.000,306457.700,276475.300,165873.600,161542.400,148669.900,165217.600,0.000
